Appello di Algoritmi del 20 Settembre 2022

matricola,linear_diff_constraints,without_grader,convoglio,TOTALE,
VR419626,0.0,0.0,0.0,0.0,
VR447848,0.0,0.0,0.0,0.0,
VR457249,0.0,0.0,0.0,0.0,
VR457796,0.0,0.0,0.0,0.0,
VR458781,0.0,0.0,0.0,0.0,
VR459645,0.0,0.0,0.0,0.0,
VR461133,0.0,0.0,0.0,0.0,
VR464270,0.0,0.0,0.0,0.0,
VR464800,0.0,0.0,0.0,0.0,
VR464922,0.0,0.0,0.0,0.0,
VR466426,0.0,0.0,0.0,0.0,
VR471628,4.0,0.0,60.0,64.0,
VR471688,0.0,0.0,15.0,15.0,
VR472108,0.0,0.0,15.0,15.0,
VR472347,0.0,0.0,0.0,0.0,
VR472500,0.0,4.0,15.0,19.0,
VR474022,4.0,0.0,0.0,4.0,
VR474539,64.0,0.0,0.0,64.0,
VR474565,0.0,0.0,0.0,0.0,
VR474692,0.0,0.0,0.0,0.0,
VR474699,0.0,0.0,15.0,15.0,
VR474721,0.0,0.0,15.0,15.0,
VR474722,0.0,48.0,15.0,63.0,
VR474723,4.0,0.0,0.0,4.0,
VR475440,4.0,0.0,100.0,104.0,
VR476706,0.0,0.0,0.0,0.0,
VR477605,0.0,0.0,0.0,0.0,
VR478050,0.0,0.0,0.0,0.0,
VR479912,0.0,0.0,0.0,0.0,
VR481889,0.0,64.0,15.0,79.0,
VR482140,0.0,0.0,0.0,0.0,
