Appello di Algoritmi del 20 Febbraio 2023

matricola,odd_walks,two_three_steps,two_three_steps_stdio,TOTALE,
VR471688,0.0,100.0,100.0,100.0,
VR463656,0.0,80.0,80.0,80.0,
VR476706,0.0,80.0,80.0,80.0,
VR474022,15.0,100.0,0.0,115.0,
VR474539,0.0,100.0,0.0,100.0,
VR474721,0.0,100.0,0.0,100.0,
VR472108,0.0,80.0,0.0,80.0,
VR474565,0.0,0.0,80.0,80.0,
VR465317,0.0,0.0,25.0,25.0,
VR465826,0.0,25.0,0.0,25.0,
VR459645,20.0,0.0,0.0,20.0,
VR439325,0.0,0.0,0.0,0.0,
VR457323,0.0,0.0,0.0,0.0,
VR457324,0.0,0.0,0.0,0.0,
VR458622,0.0,0.0,0.0,0.0,
VR463652,0.0,0.0,0.0,0.0,
VR464922,0.0,0.0,0.0,0.0,
VR471798,0.0,0.0,0.0,0.0,
VR472066,0.0,0.0,0.0,0.0,
VR472144,0.0,0.0,0.0,0.0,
VR472433,0.0,0.0,0.0,0.0,
VR472500,0.0,0.0,0.0,0.0,
VR473845,0.0,0.0,0.0,0.0,
VR473970,0.0,0.0,0.0,0.0,
VR474699,0.0,0.0,0.0,0.0,
VR475346,0.0,0.0,0.0,0.0,
VR477605,0.0,0.0,0.0,0.0,
VR478050,0.0,0.0,0.0,0.0,
VR481889,0.0,0.0,0.0,0.0,
